     00001  ADAMSON              01   01  040000  145503242  01  02
     00002  BAKER                01   01  050000  019534250  02  01
     00003  CARTWELL             01   01  100000  127831459  05  02
     00004  DORSEY               01   01  045000  112805651  02  01
     00005  HAMMOND              01   02  050000  085129750  04  02
     00006  NOLTE                01   02  045000  125558325  04  02
     00007  REDFORD              01   02  048000  122575983  03  02
     00008  JOHNKE               02   01  055000  128532000  02  03
     00009  WHITE                02   01  059000  018974437  01  02
     00010  MARSHALL             02   01  053000  125802196  02  03
     00011  EISEN                02   01  050000  135801277  04  01
     00012  SAGER                02   02  068000  195530219  02  01
     00013  STERN                02   02  068000  088567724  04  02
     00014  SUMMERS              02   02  067500  033995527  01  01
     00015  JONES                03   01  040000  011338772  09  03
     00016  JOHNSON              03   01  100000  145881477  02  03
     00017  NOLAN                03   01  044750  051873323  02  03
     00018  CANTWELL             03   02  068250  181379550  01  02
     00019  SMITH                03   02  075000  011205030  03  01
     00020  HAMMEL               03   02  059100  124986743  02  02
     00021  RAMIREZ              03   02  057043  031059090  06  35
     00022  WASHINGTON           03   02  047308  210066701  03  14
     00023  JAMES                03   03  045716  309324010  06  91
     00024  LYONS                04   01  065202  906420755  01  56
     00025  GREGORY              04   01  067190  535942032  05  07
     00026  LINCOLN              04   01  043262  018073522  04  59
     00027  NEWMAN               04   02  046531  042997804  02  45
     00028  CARTWELL             04   02  047082  353425077  01  68
     00029  DREYFUS              05   01  083108  193306341  06  32
     00030  LOPEZ                05   02  092018  037418802  03  14
     00031  FRANKLIN             05   02  044521  184110383  02  76
     00032  FORTE                05   02  043972  359062089  02  33
     00033  BYRON                05   02  055601  721080471  01  21
     00034  KEATS                05   03  043894  328514425  04  16
     00035  SOMTER               05   03  071613  205082155  06  35
     00036  PITERIS              06   04  045000  052879544  01  65
     00037  SIMOS                06   04  068900  069552548  05  56
     00038  ASHLEY               06   04  075800  235781222  02  56
     00039  BUTTERFIELD          06   04  043200  005258777  03  69
     00040  CALIOPIS             06   03  096000  023988447  09  00
     00041  DESEREY              06   02  085000  369552288  08  03
     00042  FIELDSON             07   01  052300  112205699  07  31
     00043  GALAGHER             07   08  089000  998802521  05  12
     00044  HOUSTONS             07   09  052000  068544213  06  45
     00045  JACKSON              07   02  087000  098825877  02  89
     00046  KENDERSON            07   02  036000  036665147  02  45
     00047  LIPSTERS             07   02  068500  002414447  01  12
     00048  MANATARIS            07   04  040000  069987442  03  02
     00049  NICHOLSON            08   05  055500  066552031  06  45
     00050  OBERTON              08   06  075000  011489945  06  45
     00051  PETERS               08   06  063000  023356478  08  23
     00052  ROBERTS              08   06  065200  458112200  07  12
     00053  SERGIS               08   09  087000  045886645  07  00
     00054  TUCKERSON            08   01  065000  098214566  08  01
     00055  VRICOLICSON          08   02  050000  065233345  09  12
     00056  MACALUSO             08   02  075800  063945788  09  00
     00057  KORNS                08   03  060000  566211140  09  78
     00058  OKINS                09   04  075600  654788800  05  78
     00059  FRIEDMAN             09   05  089500  987552201  01  45
     00060  SANTOS               09   05  047100  036985225  01  78
     00061  ANDOLINI             09   04  055300  023356664  02  12
     00062  RUTH                 09   08  050000  014788825  03  12
     00063  APPLESEED            09   03  090800  011124587  04  12
     00064  RIVERA               09   02  088623  099872233  05  78
     00065  RIVERSON             09   01  052900  068741147  06  78
